"Front","Back"
"(passato ...ndo) CHIEDERE","(avendo) chiesto"
"(aggetivo) ...  CHIEDERE","(... ) chiedente"
"(per favore) ...  CHIEDERE","(... ) chiedi"
"(adesso) io CHIEDERSI","(io) mi chiedo"
"(adesso) tu CHIEDERSI","(tu) ti chiedi"
"(adesso) lui CHIEDERSI","(lui) si chiede"
"(adesso) noi CHIEDERSI","(noi) ci chiediamo"
"(adesso) voi CHIEDERSI","(voi) vi chiedete"
"(adesso) loro CHIEDERSI","(loro) si chiedono"
"(ieri) tu CHIEDERSI","(tu) ti chiedevi"
"(molto tempo fa) io CHIEDERSI","(io) mi chiesi"
"(molto tempo fa) loro CHIEDERSI","(loro) si chiesero"
"(domani) noi CHIEDERSI","(noi) ci chiederemo"
"(perfetto) noi CHIEDERSI","(noi) ci siamo chiesti"
"(perchè ieri) tu CHIEDERSI","(tu) ti eri chiesto"
"che io CHIEDERSI","(che io) mi chieda"
"che voi CHIEDERSI","(che voi) vi chiediate"
"(perfetto) che io CHIEDERSI","(che io) mi sia chiesto"
"(perfetto) che loro CHIEDERSI","(che loro) si siano chieste"
"se (presente) io CHIEDERSI","se (io) mi chiederei"
"se (presente) lei CHIEDERSI","se (lei) si chiederebbe"
"se (passato) noi CHIEDERSI","se (noi) ci saremmo chiesti"
"(...ndo) ...  CHIEDERSI","(... ) chiedendosi"
"(passato ...ndo) CHIEDERSI","(essendosi) chiesto"
"(aggetivo) ...  CHIEDERSI","(... ) chiedentesi"
"(per favore) ...  CHIEDERSI","(... ) chiediti"
"(adesso) io CHIUDERE","(io) chiudo"
"(adesso) tu CHIUDERE","(tu) chiudi"
"(adesso) lui CHIUDERE","(lui) chiude"
"(adesso) noi CHIUDERE","(noi) chiudiamo"
"(adesso) voi CHIUDERE","(voi) chiudete"
"(adesso) loro CHIUDERE","(loro) chiudono"
"(ieri) lei CHIUDERE","(lei) chiudeva"
"(molto tempo fa) io CHIUDERE","(io) chiusi"
"(molto tempo fa) voi CHIUDERE","(voi) chiudeste"
"(domani) io CHIUDERE","(io) chiuderò"
"(perfetto) io CHIUDERE","(io) ho chiuso"
"(perchè ieri) lui CHIUDERE","(lui) aveva chiuso"
"che io CHIUDERE","(che io) chiuda"
"che voi CHIUDERE","(che voi) chiudiate"
"(perfetto) che io CHIUDERE","(che io) abbia chiuso"
"(perfetto) che tu CHIUDERE","(che tu) abbia chiuso"
"se (presente) io CHIUDERE","se (io) chiuderei"
"se (presente) lui CHIUDERE","se (lui) chiuderebbe"
"se (passato) io CHIUDERE","se (io) avrei chiuso"
"(...ndo) ...  CHIUDERE","(... ) chiudendo"
"(passato ...ndo) CHIUDERE","(avendo) chiuso"
"(aggetivo) ...  CHIUDERE","(... ) chiudente"
"(per favore) ...  CHIUDERE","(... ) chiudi"
"(adesso) io COMINCIARE","(io) comincio"
"(adesso) tu COMINCIARE","(tu) cominci"
"(adesso) lui COMINCIARE","(lui) comincia"
"(adesso) noi COMINCIARE","(noi) cominciamo"
"(adesso) voi COMINCIARE","(voi) cominciate"
"(adesso) loro COMINCIARE","(loro) cominciano"
"(ieri) lui COMINCIARE","(lui) cominciava"
"(molto tempo fa) io COMINCIARE","(io) cominciai"
"(molto tempo fa) noi COMINCIARE","(noi) cominciammo"
"(domani) loro COMINCIARE","(loro) cominceranno"
"(perfetto) voi COMINCIARE","(voi) avete cominciato"
"(perchè ieri) lui COMINCIARE","(lui) aveva cominciato"
"che io COMINCIARE","(che io) cominci"
"lui COMINCIARE","(lui) cominci"
"(perfetto) che io COMINCIARE","(che io) abbia cominciato"
"(perfetto) che noi COMINCIARE","(che noi) abbiamo cominciato"
"se (presente) io COMINCIARE","se (io) comincerei"
"se (presente) lei COMINCIARE","se (lei) comincerebbe"
"se (passato) lei COMINCIARE","se (lei) avrebbe cominciato"
"(...ndo) ...  COMINCIARE","(... ) cominciando"
"(passato ...ndo) COMINCIARE","(avendo) cominciato"
"(aggetivo) ...  COMINCIARE","(... ) cominciante"
"(per favore) ...  COMINCIARE","(... ) comincia"
"(adesso) io COMPRARE","(io) compro"
"(adesso) tu COMPRARE","(tu) compri"
"(adesso) lei COMPRARE","(lei) compra"
"(adesso) noi COMPRARE","(noi) compriamo"
"(adesso) voi COMPRARE","(voi) comprate"
"(adesso) loro COMPRARE","(loro) comprano"
"(ieri) tu COMPRARE","(tu) compravi"
"(molto tempo fa) io COMPRARE","(io) comprai"
"(molto tempo fa) lui COMPRARE","(lui) comprò"
"(domani) voi COMPRARE","(voi) comprerete"
"(perfetto) loro COMPRARE","(loro) hanno comprato"
"(perchè ieri) loro COMPRARE","(loro) avevano comprato"
"che io COMPRARE","(che io) compri"
"lui COMPRARE","(lui) compri"
"(perfetto) che io COMPRARE","(che io) abbia comprato"
"(perfetto) che voi COMPRARE","(che voi) abbiate comprato"
"se (presente) io COMPRARE","se (io) comprerei"
"se (presente) loro COMPRARE","se (loro) comprerebbero"
"se (passato) lei COMPRARE","se (lei) avrebbe comprato"
"(...ndo) ...  COMPRARE","(... ) comprando"
"(passato ...ndo) COMPRARE","(avendo) comprato"
"(aggetivo) ...  COMPRARE","(... ) comprante"
"(per favore) ...  COMPRARE","(... ) compra"
"(adesso) io CONOSCERE","(io) conosco"
"(adesso) tu CONOSCERE","(tu) conosci"
"(adesso) lui CONOSCERE","(lui) conosce"
"(adesso) noi CONOSCERE","(noi) conosciamo"
"(adesso) voi CONOSCERE","(voi) conoscete"
"(adesso) loro CONOSCERE","(loro) conoscono"
"(ieri) voi CONOSCERE","(voi) conoscevate"
"(molto tempo fa) io CONOSCERE","(io) conobbi"
"(molto tempo fa) voi CONOSCERE","(voi) conosceste"
"(domani) io CONOSCERE","(io) conoscerò"
"(perfetto) voi CONOSCERE","(voi) avete conosciuto"
"(perchè ieri) noi CONOSCERE","(noi) avevamo conosciuto"
"che io CONOSCERE","(che io) conosca"
"che tu CONOSCERE","(che tu) conosca"
"(perfetto) che io CONOSCERE","(che io) abbia conosciuto"
"(perfetto) che tu CONOSCERE","(che tu) abbia conosciuto"
"se (presente) io CONOSCERE","se (io) conoscerei"
"se (presente) noi CONOSCERE","se (noi) conosceremmo"
"se (passato) voi CONOSCERE","se (voi) avreste conosciuto"
"(...ndo) ...  CONOSCERE","(... ) conoscendo"
"(passato ...ndo) CONOSCERE","(avendo) conosciuto"
"(aggetivo) ...  CONOSCERE","(... ) conoscente"
"(per favore) ...  CONOSCERE","(... ) conosci"
"(adesso) io CORRERE","(io) corro"
"(adesso) tu CORRERE","(tu) corri"
"(adesso) lui CORRERE","(lui) corre"
"(adesso) noi CORRERE","(noi) corriamo"
"(adesso) voi CORRERE","(voi) correte"
"(adesso) loro CORRERE","(loro) corrono"
"(ieri) noi CORRERE","(noi) correvamo"
"(molto tempo fa) io CORRERE","(io) corsi"
"(molto tempo fa) lui CORRERE","(lui) corse"
"(domani) voi CORRERE","(voi) correrete"
"(perfetto) tu CORRERE","(tu) hai corso"
"(perchè ieri) voi CORRERE","(voi) eravate corsi"
"che io CORRERE","(che io) corra"
"che loro CORRERE","(che loro) corrano"
"(perfetto) che io CORRERE","(che io) abbia corso"
"(perfetto) che io CORRERE","(che io) sia corso"
"se (presente) io CORRERE","se (io) correrei"
"se (presente) lui CORRERE","se (lui) correrebbe"
"se (passato) loro CORRERE","se (loro) avrebbero corso"
"(...ndo) ...  CORRERE","(... ) correndo"
"(passato ...ndo) CORRERE","(avendo) corso"
"(aggetivo) ...  CORRERE","(... ) corrente"
"(per favore) ...  CORRERE","(... ) corri"
"(adesso) io CREDERE","(io) credo"
"(adesso) tu CREDERE","(tu) credi"
"(adesso) lui CREDERE","(lui) crede"
"(adesso) noi CREDERE","(noi) crediamo"
"(adesso) voi CREDERE","(voi) credete"
"(adesso) loro CREDERE","(loro) credono"
"(ieri) voi CREDERE","(voi) credevate"
"(molto tempo fa) io CREDERE","(io) credetti/ei"
"(molto tempo fa) lei CREDERE","(lei) credette/é"
"(domani) tu CREDERE","(tu) crederai"
"(perfetto) io CREDERE","(io) ho creduto"
"(perchè ieri) voi CREDERE","(voi) avevate creduto"
"che io CREDERE","(che io) creda"
"lui CREDERE","(lui) creda"
"(perfetto) che io CREDERE","(che io) abbia creduto"
"(perfetto) che voi CREDERE","(che voi) abbiate creduto"
"se (presente) io CREDERE","se (io) crederei"
"se (presente) lei CREDERE","se (lei) crederebbe"
"se (passato) noi CREDERE","se (noi) avremmo creduto"
"(...ndo) ...  CREDERE","(... ) credendo"
"(passato ...ndo) CREDERE","(avendo) creduto"
"(aggetivo) ...  CREDERE","(... ) credente"
"(per favore) ...  CREDERE","(... ) credi"
"(adesso) io CRESCERE","(io) cresco"
"(adesso) tu CRESCERE","(tu) cresci"
"(adesso) lei CRESCERE","(lei) cresce"
"(adesso) noi CRESCERE","(noi) cresciamo"
"(adesso) voi CRESCERE","(voi) crescete"
"(adesso) loro CRESCERE","(loro) crescono"
"(ieri) noi CRESCERE","(noi) crescevamo"
"(molto tempo fa) io CRESCERE","(io) crebbi"
"(molto tempo fa) noi CRESCERE","(noi) crescemmo"
"(domani) lei CRESCERE","(lei) crescerà"
"(perfetto) voi CRESCERE","(voi) avete cresciuto"
"(perchè ieri) lei CRESCERE","(lei) aveva cresciuto"
"che io CRESCERE","(che io) cresca"
"che tu CRESCERE","(che tu) cresca"
"(perfetto) che io CRESCERE","(che io) abbia cresciuto"
"(perfetto) che voi CRESCERE","(che voi) siate cresciuti"
"se (presente) io CRESCERE","se (io) crescerei"
"se (presente) tu CRESCERE","se (tu) cresceresti"
"se (passato) voi CRESCERE","se (voi) sareste cresciuti"
"(...ndo) ...  CRESCERE","(... ) crescendo"
"(passato ...ndo) CRESCERE","(essendo) cresciute"
"(aggetivo) ...  CRESCERE","(... ) crescente"
"(per favore) ...  CRESCERE","(... ) cresci"
"(adesso) io CUCINARE","(io) cucino"
"(adesso) tu CUCINARE","(tu) cucini"
"(adesso) lei CUCINARE","(lei) cucina"
"(adesso) noi CUCINARE","(noi) cuciniamo"
"(adesso) voi CUCINARE","(voi) cucinate"
"(adesso) loro CUCINARE","(loro) cucinano"
"(ieri) noi CUCINARE","(noi) cucinavamo"
"(molto tempo fa) io CUCINARE","(io) cucinai"
"(molto tempo fa) noi CUCINARE","(noi) cucinammo"
"(domani) noi CUCINARE","(noi) cucineremo"
"(perfetto) loro CUCINARE","(loro) hanno cucinato"
"(perchè ieri) lui CUCINARE","(lui) aveva cucinato"
"che io CUCINARE","(che io) cucini"
"lui CUCINARE","(lui) cucini"
"(perfetto) che io CUCINARE","(che io) abbia cucinato"
"(perfetto) che voi CUCINARE","(che voi) abbiate cucinato"
"se (presente) io CUCINARE","se (io) cucinerei"
"se (presente) noi CUCINARE","se (noi) cucineremmo"
"se (passato) loro CUCINARE","se (loro) avrebbero cucinato"
"(...ndo) ...  CUCINARE","(... ) cucinando"
"(passato ...ndo) CUCINARE","(avendo) cucinato"
"(aggetivo) ...  CUCINARE","(... ) cucinante"
"(per favore) ...  CUCINARE","(... ) cucina"
"(adesso) io DARE","(io) do"
"(adesso) tu DARE","(tu) dai"
"(adesso) lei DARE","(lei) dà"
"(adesso) noi DARE","(noi) diamo"
"(adesso) voi DARE","(voi) date"
"(adesso) loro DARE","(loro) danno"
"(ieri) noi DARE","(noi) davamo"
"(molto tempo fa) io DARE","(io) diedi/etti"
"(molto tempo fa) noi DARE","(noi) demmo"
"(domani) io DARE","(io) darò"
"(perfetto) io DARE","(io) ho dato"
"(perchè ieri) io DARE","(io) avevo dato"
"che io DARE","(che io) dia"
"che voi DARE","(che voi) diate"
"(perfetto) che io DARE","(che io) abbia dato"
"(perfetto) che noi DARE","(che noi) abbiamo dato"
"se (presente) io DARE","se (io) darei"
"se (presente) tu DARE","se (tu) daresti"
"se (passato) lui DARE","se (lui) avrebbe dato"
"(...ndo) ...  DARE","(... ) dando"
"(passato ...ndo) DARE","(avendo) dato"
"(aggetivo) ...  DARE","(... ) dante"
"(per favore) ...  DARE","(... ) da'/ai"
"(adesso) io DECIDERE","(io) decido"
"(adesso) tu DECIDERE","(tu) decidi"
"(adesso) lei DECIDERE","(lei) decide"
"(adesso) noi DECIDERE","(noi) decidiamo"
"(adesso) voi DECIDERE","(voi) decidete"
"(adesso) loro DECIDERE","(loro) decidono"
"(ieri) lui DECIDERE","(lui) decideva"
"(molto tempo fa) io DECIDERE","(io) decisi"
"(molto tempo fa) voi DECIDERE","(voi) decideste"
"(domani) lei DECIDERE","(lei) deciderà"
"(perfetto) tu DECIDERE","(tu) hai deciso"
"(perchè ieri) noi DECIDERE","(noi) avevamo deciso"
"che io DECIDERE","(che io) decida"
"che noi DECIDERE","(che noi) decidiamo"
"(perfetto) che io DECIDERE","(che io) abbia deciso"
"(perfetto) che loro DECIDERE","(che loro) abbiano deciso"
"se (presente) io DECIDERE","se (io) deciderei"
"se (presente) noi DECIDERE","se (noi) decideremmo"
"se (passato) loro DECIDERE","se (loro) avrebbero deciso"
"(...ndo) ...  DECIDERE","(... ) decidendo"
"(passato ...ndo) DECIDERE","(avendo) deciso"
"(aggetivo) ...  DECIDERE","(... ) decidente"
"(per favore) ...  DECIDERE","(... ) decidi"
"(adesso) io DIMENTICARE","(io) dimentico"
"(adesso) tu DIMENTICARE","(tu) dimentichi"
"(adesso) lui DIMENTICARE","(lui) dimentica"
"(adesso) noi DIMENTICARE","(noi) dimentichiamo"
"(adesso) voi DIMENTICARE","(voi) dimenticate"
"(adesso) loro DIMENTICARE","(loro) dimenticano"
"(ieri) voi DIMENTICARE","(voi) dimenticavate"
"(molto tempo fa) io DIMENTICARE","(io) dimenticai"
"(molto tempo fa) loro DIMENTICARE","(loro) dimenticarono"
"(domani) io DIMENTICARE","(io) dimenticherò"
"(perfetto) noi DIMENTICARE","(noi) abbiamo dimenticato"
"(perchè ieri) lui DIMENTICARE","(lui) aveva dimenticato"
"che io DIMENTICARE","(che io) dimentichi"
"che noi DIMENTICARE","(che noi) dimentichiamo"
"(perfetto) che io DIMENTICARE","(che io) abbia dimenticato"
"(perfetto) che loro DIMENTICARE","(che loro) abbiano dimenticato"
"se (presente) io DIMENTICARE","se (io) dimenticherei"
"se (presente) tu DIMENTICARE","se (tu) dimenticheresti"
"se (passato) tu DIMENTICARE","se (tu) avresti dimenticato"
"(...ndo) ...  DIMENTICARE","(... ) dimenticando"
"(passato ...ndo) DIMENTICARE","(avendo) dimenticato"
"(aggetivo) ...  DIMENTICARE","(... ) dimenticante"
"(per favore) ...  DIMENTICARE","(... ) dimentica"
"(adesso) io DIRE","(io) dico"
"(adesso) tu DIRE","(tu) dici"
"(adesso) lei DIRE","(lei) dice"
"(adesso) noi DIRE","(noi) diciamo"
"(adesso) voi DIRE","(voi) dite"
"(adesso) loro DIRE","(loro) dicono"
"(ieri) loro DIRE","(loro) dicevano"
"(molto tempo fa) io DIRE","(io) dissi"
"(molto tempo fa) tu DIRE","(tu) dicesti"
"(domani) loro DIRE","(loro) diranno"
"(perfetto) lei DIRE","(lei) ha detto"
"(perchè ieri) io DIRE","(io) avevo detto"
"che io DIRE","(che io) dica"
"che voi DIRE","(che voi) diciate"
"(perfetto) che io DIRE","(che io) abbia detto"
"(perfetto) che loro DIRE","(che loro) abbiano detto"
"se (presente) io DIRE","se (io) direi"
"se (presente) lui DIRE","se (lui) direbbe"
"se (passato) loro DIRE","se (loro) avrebbero detto"
"(...ndo) ...  DIRE","(... ) dicendo"
"(passato ...ndo) DIRE","(avendo) detto"
"(aggetivo) ...  DIRE","(... ) dicente"
"(per favore) ...  DIRE","(... ) di'"
"(adesso) io DIVENTARE","(io) divento"
"(adesso) tu DIVENTARE","(tu) diventi"
"(adesso) lei DIVENTARE","(lei) diventa"
"(adesso) noi DIVENTARE","(noi) diventiamo"
"(adesso) voi DIVENTARE","(voi) diventate"
"(adesso) loro DIVENTARE","(loro) diventano"
"(ieri) voi DIVENTARE","(voi) diventavate"
"(molto tempo fa) io DIVENTARE","(io) diventai"
"(molto tempo fa) tu DIVENTARE","(tu) diventasti"
"(domani) loro DIVENTARE","(loro) diventeranno"
"(perfetto) tu DIVENTARE","(tu) sei diventato"
"(perchè ieri) lei DIVENTARE","(lei) era diventata"
"che io DIVENTARE","(che io) diventi"
"che loro DIVENTARE","(che loro) diventino"
"(perfetto) che io DIVENTARE","(che io) sia diventato"
"(perfetto) che loro DIVENTARE","(che loro) siano diventati"
"se (presente) io DIVENTARE","se (io) diventerei"
"se (presente) noi DIVENTARE","se (noi) diventeremmo"
"se (passato) lei DIVENTARE","se (lei) sarebbe diventata"
"(...ndo) ...  DIVENTARE","(... ) diventando"
"(passato ...ndo) DIVENTARE","(essendo) diventato"
"(aggetivo) ...  DIVENTARE","(... ) diventante"
"(per favore) ...  DIVENTARE","(... ) diventa"
"(adesso) io DIVERTIRSI","(io) mi diverto"
"(adesso) tu DIVERTIRSI","(tu) ti diverti"
"(adesso) lui DIVERTIRSI","(lui) si diverte"
"(adesso) noi DIVERTIRSI","(noi) ci divertiamo"
"(adesso) voi DIVERTIRSI","(voi) vi divertite"
"(adesso) loro DIVERTIRSI","(loro) si divertono"
"(ieri) noi DIVERTIRSI","(noi) ci divertivamo"
"(molto tempo fa) io DIVERTIRSI","(io) mi divertii"
"(molto tempo fa) voi DIVERTIRSI","(voi) vi divertiste"
"(domani) loro DIVERTIRSI","(loro) si divertiranno"
"(perfetto) io DIVERTIRSI","(io) mi sono divertito"
"(perchè ieri) lui DIVERTIRSI","(lui) si era divertito"
"che io DIVERTIRSI","(che io) mi diverta"
"che noi DIVERTIRSI","(che noi) ci divertiamo"
"(perfetto) che io DIVERTIRSI","(che io) mi sia divertito"
"(perfetto) che noi DIVERTIRSI","(che noi) ci siamo divertiti"
"se (presente) io DIVERTIRSI","se (io) mi divertirei"
"se (presente) noi DIVERTIRSI","se (noi) ci divertiremmo"
"se (passato) tu DIVERTIRSI","se (tu) ti saresti divertito"
"(...ndo) ...  DIVERTIRSI","(... ) divertendosi"
"(passato ...ndo) DIVERTIRSI","(essendosi) divertito"
"(aggetivo) ...  DIVERTIRSI","(... ) divertentesi"
"(per favore) ...  DIVERTIRSI","(... ) divertiti"
"(adesso) io DORMIRE","(io) dormo"
"(adesso) tu DORMIRE","(tu) dormi"
"(adesso) lui DORMIRE","(lui) dorme"
"(adesso) noi DORMIRE","(noi) dormiamo"
"(adesso) voi DORMIRE","(voi) dormite"
"(adesso) loro DORMIRE","(loro) dormono"
"(ieri) voi DORMIRE","(voi) dormivate"
"(molto tempo fa) io DORMIRE","(io) dormii"
"(molto tempo fa) loro DORMIRE","(loro) dormirono"
"(domani) loro DORMIRE","(loro) dormiranno"
"(perfetto) io DORMIRE","(io) ho dormito"
"(perchè ieri) tu DORMIRE","(tu) avevi dormito"
"che io DORMIRE","(che io) dorma"
"che loro DORMIRE","(che loro) dormano"
"(perfetto) che io DORMIRE","(che io) abbia dormito"
"(perfetto) che voi DORMIRE","(che voi) abbiate dormito"
"se (presente) io DORMIRE","se (io) dormirei"
"se (presente) voi DORMIRE","se (voi) dormireste"
"se (passato) lei DORMIRE","se (lei) avrebbe dormito"
"(...ndo) ...  DORMIRE","(... ) dormendo"
"(passato ...ndo) DORMIRE","(avendo) dormito"
"(aggetivo) ...  DORMIRE","(... ) dormente"
"(per favore) ...  DORMIRE","(... ) dormi"
"(adesso) io DOVERE","(io) devo/ebbo"
"(adesso) tu DOVERE","(tu) devi"
"(adesso) lei DOVERE","(lei) deve"
"(adesso) noi DOVERE","(noi) dobbiamo"
"(adesso) voi DOVERE","(voi) dovete"
"(adesso) loro DOVERE","(loro) devono/ebbono"
"(ieri) tu DOVERE","(tu) dovevi"
"(molto tempo fa) io DOVERE","(io) dovei/ovetti"
"(molto tempo fa) noi DOVERE","(noi) dovemmo"
"(domani) lui DOVERE","(lui) dovrà"
"(perfetto) voi DOVERE","(voi) avete dovuto"
"(perchè ieri) io DOVERE","(io) avevo dovuto"
"che io DOVERE","(che io) deva"
"che noi DOVERE","(che noi) dobbiamo"
"(perfetto) che io DOVERE","(che io) abbia dovuto"
"(perfetto) che noi DOVERE","(che noi) abbiamo dovuto"
"se (presente) io DOVERE","se (io) dovrei"
"se (presente) loro DOVERE","se (loro) dovrebbero"
"se (passato) lui DOVERE","se (lui) avrebbe dovuto"
"(...ndo) ...  DOVERE","(... ) dovendo"
"(passato ...ndo) DOVERE","(avendo) dovuto"
"(aggetivo) ...  DOVERE","(... ) dovente"
"(adesso) io ENTRARE","(io) entro"
"(adesso) tu ENTRARE","(tu) entri"
"(adesso) lui ENTRARE","(lui) entra"
"(adesso) noi ENTRARE","(noi) entriamo"
"(adesso) voi ENTRARE","(voi) entrate"
"(adesso) loro ENTRARE","(loro) entrano"
"(ieri) lui ENTRARE","(lui) entrava"
"(molto tempo fa) io ENTRARE","(io) entrai"
"(molto tempo fa) lui ENTRARE","(lui) entrò"
"(domani) tu ENTRARE","(tu) entrerai"
"(perfetto) io ENTRARE","(io) sono entrato"
"(perchè ieri) voi ENTRARE","(voi) eravate entrati"
"che io ENTRARE","(che io) entri"
"lui ENTRARE","(lui) entri"
"(perfetto) che io ENTRARE","(che io) sia entrato"
"(perfetto) che tu ENTRARE","(che tu) sia entrato"
"se (presente) io ENTRARE","se (io) entrerei"
"se (presente) loro ENTRARE","se (loro) entrerebbero"
"se (passato) noi ENTRARE","se (noi) saremmo entrati"
"(...ndo) ...  ENTRARE","(... ) entrando"
"(passato ...ndo) ENTRARE","(essendo) entrati"
"(aggetivo) ...  ENTRARE","(... ) entrante"
"(per favore) ...  ENTRARE","(... ) entra"
"(adesso) io ESSERE","(io) sono"
"(adesso) tu ESSERE","(tu) sei"
"(adesso) lei ESSERE","(lei) è"
"(adesso) noi ESSERE","(noi) siamo"
"(adesso) voi ESSERE","(voi) siete"
"(adesso) loro ESSERE","(loro) sono"
"(ieri) voi ESSERE","(voi) eravate"
"(molto tempo fa) io ESSERE","(io) fui"
"(molto tempo fa) voi ESSERE","(voi) foste"
"(domani) tu ESSERE","(tu) sarai"
"(perfetto) lui ESSERE","(lui) è stato"
"(perchè ieri) loro ESSERE","(loro) erano state"
"che io ESSERE","(che io) sia"
"che loro ESSERE","(che loro) siano"
"(perfetto) che io ESSERE","(che io) sia stato"
"(perfetto) che voi ESSERE","(che voi) siate stati"
"se (presente) io ESSERE","se (io) sarei"
"se (presente) noi ESSERE","se (noi) saremmo"
"se (passato) voi ESSERE","se (voi) sareste stati"
"(...ndo) ...  ESSERE","(... ) essendo"
"(passato ...ndo) ESSERE","(essendo) stati"
"(aggetivo) ...  ESSERE","(... ) ente"
"(per favore) ...  ESSERE","(... ) sii"
"(adesso) io FARE","(io) faccio"
"(adesso) tu FARE","(tu) fai"
"(adesso) lei FARE","(lei) fa"
"(adesso) noi FARE","(noi) facciamo"
"(adesso) voi FARE","(voi) fate"
"(adesso) loro FARE","(loro) fanno"
"(ieri) voi FARE","(voi) facevate"
"(molto tempo fa) io FARE","(io) feci"
"(molto tempo fa) loro FARE","(loro) fecero"
"(domani) noi FARE","(noi) faremo"
"(perfetto) voi FARE","(voi) avete fatto"
"(perchè ieri) tu FARE","(tu) avevi fatto"
"che io FARE","(che io) faccia"
"lui FARE","(lui) faccia"
"(perfetto) che io FARE","(che io) abbia fatto"
"(perfetto) che noi FARE","(che noi) abbiamo fatto"
"se (presente) io FARE","se (io) farei"
"se (presente) noi FARE","se (noi) faremmo"
"se (passato) io FARE","se (io) avrei fatto"
"(...ndo) ...  FARE","(... ) facendo"
"(passato ...ndo) FARE","(avendo) fatto"
"(aggetivo) ...  FARE","(... ) facente"
"(per favore) ...  FARE","(... ) fa'/ai"
"(adesso) io FERMARSI","(io) mi fermo"
"(adesso) tu FERMARSI","(tu) ti fermi"
"(adesso) lei FERMARSI","(lei) si ferma"
"(adesso) noi FERMARSI","(noi) ci fermiamo"
"(adesso) voi FERMARSI","(voi) vi fermate"
"(adesso) loro FERMARSI","(loro) si fermano"
"(ieri) lei FERMARSI","(lei) si fermava"
"(molto tempo fa) io FERMARSI","(io) mi fermai"
"(molto tempo fa) voi FERMARSI","(voi) vi fermaste"
"(domani) lui FERMARSI","(lui) si fermerà"
"(perfetto) tu FERMARSI","(tu) ti sei fermato"
"(perchè ieri) voi FERMARSI","(voi) vi eravate fermati"
"che io FERMARSI","(che io) mi fermi"
"che noi FERMARSI","(che noi) ci fermiamo"
"(perfetto) che io FERMARSI","(che io) mi sia fermato"
"(perfetto) che lei FERMARSI","(che lei) si sia fermata"
"se (presente) io FERMARSI","se (io) mi fermerei"
"se (presente) noi FERMARSI","se (noi) ci fermeremmo"
"se (passato) loro FERMARSI","se (loro) si sarebbero fermati"
"(...ndo) ...  FERMARSI","(... ) fermandosi"
"(passato ...ndo) FERMARSI","(essendosi) fermato"
"(aggetivo) ...  FERMARSI","(... ) fermantesi"
"(per favore) ...  FERMARSI","(... ) fermati"
"(adesso) io FINIRE","(io) finisco"
"(adesso) tu FINIRE","(tu) finisci"
"(adesso) lui FINIRE","(lui) finisce"
"(adesso) noi FINIRE","(noi) finiamo"
"(adesso) voi FINIRE","(voi) finite"
"(adesso) loro FINIRE","(loro) finiscono"
"(ieri) voi FINIRE","(voi) finivate"
"(molto tempo fa) io FINIRE","(io) finii"
"(molto tempo fa) voi FINIRE","(voi) finiste"
"(domani) tu FINIRE","(tu) finirai"
"(perfetto) loro FINIRE","(loro) sono finiti"
"(perchè ieri) tu FINIRE","(tu) eri finito"
"che io FINIRE","(che io) finisca"
"che noi FINIRE","(che noi) finiamo"
"(perfetto) che io FINIRE","(che io) abbia finito"
"(perfetto) che io FINIRE","(che io) sia finito"
"se (presente) io FINIRE","se (io) finirei"
"se (presente) voi FINIRE","se (voi) finireste"
"se (passato) voi FINIRE","se (voi) avreste finito"
"(...ndo) ...  FINIRE","(... ) finendo"
"(passato ...ndo) FINIRE","(essendo) finita"
"(aggetivo) ...  FINIRE","(... ) finente"
"(per favore) ...  FINIRE","(... ) finisci"
"(adesso) io GIOCARE","(io) gioco"
"(adesso) tu GIOCARE","(tu) giochi"
"(adesso) lui GIOCARE","(lui) gioca"
"(adesso) noi GIOCARE","(noi) giochiamo"
"(adesso) voi GIOCARE","(voi) giocate"
"(adesso) loro GIOCARE","(loro) giocano"
"(ieri) noi GIOCARE","(noi) giocavamo"
"(molto tempo fa) io GIOCARE","(io) giocai"
"(molto tempo fa) voi GIOCARE","(voi) giocaste"
"(domani) tu GIOCARE","(tu) giocherai"
"(perfetto) io GIOCARE","(io) ho giocato"
"(perchè ieri) tu GIOCARE","(tu) avevi giocato"
"che io GIOCARE","(che io) giochi"
"che loro GIOCARE","(che loro) giochino"
"(perfetto) che io GIOCARE","(che io) abbia giocato"
"(perfetto) che voi GIOCARE","(che voi) abbiate giocato"
"se (presente) io GIOCARE","se (io) giocherei"
"se (presente) voi GIOCARE","se (voi) giochereste"
"se (passato) io GIOCARE","se (io) avrei giocato"
"(...ndo) ...  GIOCARE","(... ) giocando"
"(passato ...ndo) GIOCARE","(avendo) giocato"
"(aggetivo) ...  GIOCARE","(... ) giocante"
"(per favore) ...  GIOCARE","(... ) gioca"
"(adesso) io GUARDARE","(io) guardo"
"(adesso) tu GUARDARE","(tu) guardi"
"(adesso) lei GUARDARE","(lei) guarda"
"(adesso) noi GUARDARE","(noi) guardiamo"
"(adesso) voi GUARDARE","(voi) guardate"
"(adesso) loro GUARDARE","(loro) guardano"
"(ieri) loro GUARDARE","(loro) guardavano"
"(molto tempo fa) io GUARDARE","(io) guardai"
"(molto tempo fa) lei GUARDARE","(lei) guardò"
"(domani) loro GUARDARE","(loro) guarderanno"
"(perfetto) tu GUARDARE","(tu) hai guardato"
"(perchè ieri) loro GUARDARE","(loro) avevano guardato"
"che io GUARDARE","(che io) guardi"
