"Position","Verb","Form","Front","Back"
"7","conoscere","Congiuntivo Trapassato","tu conosci -> (che) Trapassato","che tu avessi conosciuto"
"7","conoscere","Congiuntivo Trapassato","lui conosce -> (che) Trapassato","che lui avesse conosciuto"
"7","conoscere","Congiuntivo Trapassato","lei conosce -> (che) Trapassato","che lei avesse conosciuto"
"7","conoscere","Congiuntivo Trapassato","noi conosciamo -> (che) Trapassato","che noi avessimo conosciuto"
"7","conoscere","Congiuntivo Trapassato","voi conoscete -> (che) Trapassato","che voi aveste conosciuto"
"7","conoscere","Congiuntivo Trapassato","loro(m) conoscono -> (che) Trapassato","che loro(m) avessero conosciuto"
"7","conoscere","Congiuntivo Trapassato","loro(f) conoscono -> (che) Trapassato","che loro(f) avessero conosciuto"
"7","conoscere","Congiuntivo Imperfetto","io conosco -> (che) Imperfetto","che io conoscessi"
"7","conoscere","Congiuntivo Imperfetto","tu conosci -> (che) Imperfetto","che tu conoscessi"
"7","conoscere","Congiuntivo Imperfetto","lui conosce -> (che) Imperfetto","che lui conoscesse"
"7","conoscere","Congiuntivo Imperfetto","lei conosce -> (che) Imperfetto","che lei conoscesse"
"7","conoscere","Congiuntivo Imperfetto","noi conosciamo -> (che) Imperfetto","che noi conoscessimo"
"7","conoscere","Congiuntivo Imperfetto","voi conoscete -> (che) Imperfetto","che voi conosceste"
"7","conoscere","Congiuntivo Imperfetto","loro(m) conoscono -> (che) Imperfetto","che loro(m) conoscessero"
"7","conoscere","Congiuntivo Imperfetto","loro(f) conoscono -> (che) Imperfetto","che loro(f) conoscessero"
"7","conoscere","Condizionale Presente","io conosco -> (se) Presente","io conoscerei"
"7","conoscere","Condizionale Presente","tu conosci -> (se) Presente","tu conosceresti"
"7","conoscere","Condizionale Presente","lui conosce -> (se) Presente","lui conoscerebbe"
"7","conoscere","Condizionale Presente","lei conosce -> (se) Presente","lei conoscerebbe"
"7","conoscere","Condizionale Presente","noi conosciamo -> (se) Presente","noi conosceremmo"
"7","conoscere","Condizionale Presente","voi conoscete -> (se) Presente","voi conoscereste"
"7","conoscere","Condizionale Presente","loro(m) conoscono -> (se) Presente","loro(m) conoscerebbero"
"7","conoscere","Condizionale Presente","loro(f) conoscono -> (se) Presente","loro(f) conoscerebbero"
"7","conoscere","Condizionale Passato","io conosco -> (se) Passato","io avrei conosciuto"
"7","conoscere","Condizionale Passato","tu conosci -> (se) Passato","tu avresti conosciuto"
"7","conoscere","Condizionale Passato","lui conosce -> (se) Passato","lui avrebbe conosciuto"
"7","conoscere","Condizionale Passato","lei conosce -> (se) Passato","lei avrebbe conosciuto"
"7","conoscere","Condizionale Passato","noi conosciamo -> (se) Passato","noi avremmo conosciuto"
"7","conoscere","Condizionale Passato","voi conoscete -> (se) Passato","voi avreste conosciuto"
"7","conoscere","Condizionale Passato","loro(m) conoscono -> (se) Passato","loro(m) avrebbero conosciuto"
"7","conoscere","Condizionale Passato","loro(f) conoscono -> (se) Passato","loro(f) avrebbero conosciuto"
"8","dare","Imperfetto","io do -> Imperfetto","io davo"
"8","dare","Imperfetto","tu dai -> Imperfetto","tu davi"
"8","dare","Imperfetto","lui dà -> Imperfetto","lui dava"
"8","dare","Imperfetto","lei dà -> Imperfetto","lei dava"
"8","dare","Imperfetto","noi diamo -> Imperfetto","noi davamo"
"8","dare","Imperfetto","voi date -> Imperfetto","voi davate"
"8","dare","Imperfetto","loro(m) danno -> Imperfetto","loro(m) davano"
"8","dare","Imperfetto","loro(f) danno -> Imperfetto","loro(f) davano"
"8","dare","Passato remoto","io do -> Passato Remoto","io diedi/etti"
"8","dare","Passato remoto","tu dai -> Passato Remoto","tu desti"
"8","dare","Passato remoto","lui dà -> Passato Remoto","lui diede/ette"
"8","dare","Passato remoto","lei dà -> Passato Remoto","lei diede/ette"
"8","dare","Passato remoto","noi diamo -> Passato Remoto","noi demmo"
"8","dare","Passato remoto","voi date -> Passato Remoto","voi deste"
"8","dare","Passato remoto","loro(m) danno -> Passato Remoto","loro(m) diedero/ettero"
"8","dare","Passato remoto","loro(f) danno -> Passato Remoto","loro(f) diedero/ettero"
"8","dare","Futuro semplice","io do -> Futuro","io darò"
"8","dare","Futuro semplice","tu dai -> Futuro","tu darai"
"8","dare","Futuro semplice","lui dà -> Futuro","lui darà"
"8","dare","Futuro semplice","lei dà -> Futuro","lei darà"
"8","dare","Futuro semplice","noi diamo -> Futuro","noi daremo"
"8","dare","Futuro semplice","voi date -> Futuro","voi darete"
"8","dare","Futuro semplice","loro(m) danno -> Futuro","loro(m) daranno"
"8","dare","Futuro semplice","loro(f) danno -> Futuro","loro(f) daranno"
"8","dare","Passato prossimo","io do -> Perfetto","io ho dato"
"8","dare","Passato prossimo","tu dai -> Perfetto","tu hai dato"
"8","dare","Passato prossimo","lui dà -> Perfetto","lui ha dato"
"8","dare","Passato prossimo","lei dà -> Perfetto","lei ha dato"
"8","dare","Passato prossimo","noi diamo -> Perfetto","noi abbiamo dato"
"8","dare","Passato prossimo","voi date -> Perfetto","voi avete dato"
"8","dare","Passato prossimo","loro(m) danno -> Perfetto","loro(m) hanno dato"
"8","dare","Passato prossimo","loro(f) danno -> Perfetto","loro(f) hanno dato"
"8","dare","Trapassato prossimo","io do -> Trapassato Prossimo","io avevo dato"
"8","dare","Trapassato prossimo","tu dai -> Trapassato Prossimo","tu avevi dato"
"8","dare","Trapassato prossimo","lui dà -> Trapassato Prossimo","lui aveva dato"
"8","dare","Trapassato prossimo","lei dà -> Trapassato Prossimo","lei aveva dato"
"8","dare","Trapassato prossimo","noi diamo -> Trapassato Prossimo","noi avevamo dato"
"8","dare","Trapassato prossimo","voi date -> Trapassato Prossimo","voi avevate dato"
"8","dare","Trapassato prossimo","loro(m) danno -> Trapassato Prossimo","loro(m) avevano dato"
"8","dare","Trapassato prossimo","loro(f) danno -> Trapassato Prossimo","loro(f) avevano dato"
"8","dare","Futuro anteriore","io do -> Futuro Anteriore","io avrò dato"
"8","dare","Futuro anteriore","tu dai -> Futuro Anteriore","tu avrai dato"
"8","dare","Futuro anteriore","lui dà -> Futuro Anteriore","lui avrà dato"
"8","dare","Futuro anteriore","lei dà -> Futuro Anteriore","lei avrà dato"
"8","dare","Futuro anteriore","noi diamo -> Futuro Anteriore","noi avremo dato"
"8","dare","Futuro anteriore","voi date -> Futuro Anteriore","voi avrete dato"
"8","dare","Futuro anteriore","loro(m) danno -> Futuro Anteriore","loro(m) avranno dato"
"8","dare","Futuro anteriore","loro(f) danno -> Futuro Anteriore","loro(f) avranno dato"
"8","dare","Congiuntivo Presente","io do -> (che) Presente","che io dia"
"8","dare","Congiuntivo Presente","tu dai -> (che) Presente","che tu dia"
"8","dare","Congiuntivo Presente","lui dà -> (che) Presente","che lui dia"
"8","dare","Congiuntivo Presente","lei dà -> (che) Presente","che lei dia"
"8","dare","Congiuntivo Presente","noi diamo -> (che) Presente","che noi diamo"
"8","dare","Congiuntivo Presente","voi date -> (che) Presente","che voi diate"
"8","dare","Congiuntivo Presente","loro(m) danno -> (che) Presente","che loro(m) diano"
"8","dare","Congiuntivo Presente","loro(f) danno -> (che) Presente","che loro(f) diano"
"8","dare","Congiuntivo Passato","io do -> (che) Perfettoal","che io abbia dato"
"8","dare","Congiuntivo Passato","tu dai -> (che) Perfettoal","che tu abbia dato"
"8","dare","Congiuntivo Passato","lui dà -> (che) Perfettoal","che lui abbia dato"
"8","dare","Congiuntivo Passato","lei dà -> (che) Perfettoal","che lei abbia dato"
"8","dare","Congiuntivo Passato","noi diamo -> (che) Perfettoal","che noi abbiamo dato"
"8","dare","Congiuntivo Passato","voi date -> (che) Perfettoal","che voi abbiate dato"
"8","dare","Congiuntivo Passato","loro(m) danno -> (che) Perfettoal","che loro(m) abbiano dato"
"8","dare","Congiuntivo Passato","loro(f) danno -> (che) Perfettoal","che loro(f) abbiano dato"
"8","dare","Congiuntivo Trapassato","io do -> (che) Trapassato","che io avessi dato"
"8","dare","Congiuntivo Trapassato","tu dai -> (che) Trapassato","che tu avessi dato"
"8","dare","Congiuntivo Trapassato","lui dà -> (che) Trapassato","che lui avesse dato"
"8","dare","Congiuntivo Trapassato","lei dà -> (che) Trapassato","che lei avesse dato"
"8","dare","Congiuntivo Trapassato","noi diamo -> (che) Trapassato","che noi avessimo dato"
"8","dare","Congiuntivo Trapassato","voi date -> (che) Trapassato","che voi aveste dato"
"8","dare","Congiuntivo Trapassato","loro(m) danno -> (che) Trapassato","che loro(m) avessero dato"
"8","dare","Congiuntivo Trapassato","loro(f) danno -> (che) Trapassato","che loro(f) avessero dato"
"8","dare","Congiuntivo Imperfetto","io do -> (che) Imperfetto","che io dessi"
"8","dare","Congiuntivo Imperfetto","tu dai -> (che) Imperfetto","che tu dessi"
"8","dare","Congiuntivo Imperfetto","lui dà -> (che) Imperfetto","che lui desse"
"8","dare","Congiuntivo Imperfetto","lei dà -> (che) Imperfetto","che lei desse"
"8","dare","Congiuntivo Imperfetto","noi diamo -> (che) Imperfetto","che noi dessimo"
"8","dare","Congiuntivo Imperfetto","voi date -> (che) Imperfetto","che voi deste"
"8","dare","Congiuntivo Imperfetto","loro(m) danno -> (che) Imperfetto","che loro(m) dessero"
"8","dare","Congiuntivo Imperfetto","loro(f) danno -> (che) Imperfetto","che loro(f) dessero"
"8","dare","Condizionale Presente","io do -> (se) Presente","io darei"
"8","dare","Condizionale Presente","tu dai -> (se) Presente","tu daresti"
"8","dare","Condizionale Presente","lui dà -> (se) Presente","lui darebbe"
"8","dare","Condizionale Presente","lei dà -> (se) Presente","lei darebbe"
"8","dare","Condizionale Presente","noi diamo -> (se) Presente","noi daremmo"
"8","dare","Condizionale Presente","voi date -> (se) Presente","voi dareste"
"8","dare","Condizionale Presente","loro(m) danno -> (se) Presente","loro(m) darebbero"
"8","dare","Condizionale Presente","loro(f) danno -> (se) Presente","loro(f) darebbero"
"8","dare","Condizionale Passato","io do -> (se) Passato","io avrei dato"
"8","dare","Condizionale Passato","tu dai -> (se) Passato","tu avresti dato"
"8","dare","Condizionale Passato","lui dà -> (se) Passato","lui avrebbe dato"
"8","dare","Condizionale Passato","lei dà -> (se) Passato","lei avrebbe dato"
"8","dare","Condizionale Passato","noi diamo -> (se) Passato","noi avremmo dato"
"8","dare","Condizionale Passato","voi date -> (se) Passato","voi avreste dato"
"8","dare","Condizionale Passato","loro(m) danno -> (se) Passato","loro(m) avrebbero dato"
"8","dare","Condizionale Passato","loro(f) danno -> (se) Passato","loro(f) avrebbero dato"
"9","dire","Imperfetto","io dico -> Imperfetto","io dicevo"
"9","dire","Imperfetto","tu dici -> Imperfetto","tu dicevi"
"9","dire","Imperfetto","lui dice -> Imperfetto","lui diceva"
"9","dire","Imperfetto","lei dice -> Imperfetto","lei diceva"
"9","dire","Imperfetto","noi diciamo -> Imperfetto","noi dicevamo"
"9","dire","Imperfetto","voi dite -> Imperfetto","voi dicevate"
"9","dire","Imperfetto","loro(m) dicono -> Imperfetto","loro(m) dicevano"
"9","dire","Imperfetto","loro(f) dicono -> Imperfetto","loro(f) dicevano"
"9","dire","Passato remoto","io dico -> Passato Remoto","io dissi"
"9","dire","Passato remoto","tu dici -> Passato Remoto","tu dicesti"
"9","dire","Passato remoto","lui dice -> Passato Remoto","lui disse"
"9","dire","Passato remoto","lei dice -> Passato Remoto","lei disse"
"9","dire","Passato remoto","noi diciamo -> Passato Remoto","noi dicemmo"
"9","dire","Passato remoto","voi dite -> Passato Remoto","voi diceste"
"9","dire","Passato remoto","loro(m) dicono -> Passato Remoto","loro(m) dissero"
"9","dire","Passato remoto","loro(f) dicono -> Passato Remoto","loro(f) dissero"
"9","dire","Futuro semplice","io dico -> Futuro","io dirò"
"9","dire","Futuro semplice","tu dici -> Futuro","tu dirai"
"9","dire","Futuro semplice","lui dice -> Futuro","lui dirà"
"9","dire","Futuro semplice","lei dice -> Futuro","lei dirà"
"9","dire","Futuro semplice","noi diciamo -> Futuro","noi diremo"
"9","dire","Futuro semplice","voi dite -> Futuro","voi direte"
"9","dire","Futuro semplice","loro(m) dicono -> Futuro","loro(m) diranno"
"9","dire","Futuro semplice","loro(f) dicono -> Futuro","loro(f) diranno"
"9","dire","Passato prossimo","io dico -> Perfetto","io ho detto"
"9","dire","Passato prossimo","tu dici -> Perfetto","tu hai detto"
"9","dire","Passato prossimo","lui dice -> Perfetto","lui ha detto"
"9","dire","Passato prossimo","lei dice -> Perfetto","lei ha detto"
"9","dire","Passato prossimo","noi diciamo -> Perfetto","noi abbiamo detto"
"9","dire","Passato prossimo","voi dite -> Perfetto","voi avete detto"
"9","dire","Passato prossimo","loro(m) dicono -> Perfetto","loro(m) hanno detto"
"9","dire","Passato prossimo","loro(f) dicono -> Perfetto","loro(f) hanno detto"
"9","dire","Trapassato prossimo","io dico -> Trapassato Prossimo","io avevo detto"
"9","dire","Trapassato prossimo","tu dici -> Trapassato Prossimo","tu avevi detto"
"9","dire","Trapassato prossimo","lui dice -> Trapassato Prossimo","lui aveva detto"
"9","dire","Trapassato prossimo","lei dice -> Trapassato Prossimo","lei aveva detto"
"9","dire","Trapassato prossimo","noi diciamo -> Trapassato Prossimo","noi avevamo detto"
"9","dire","Trapassato prossimo","voi dite -> Trapassato Prossimo","voi avevate detto"
"9","dire","Trapassato prossimo","loro(m) dicono -> Trapassato Prossimo","loro(m) avevano detto"
"9","dire","Trapassato prossimo","loro(f) dicono -> Trapassato Prossimo","loro(f) avevano detto"
"9","dire","Futuro anteriore","io dico -> Futuro Anteriore","io avrò detto"
"9","dire","Futuro anteriore","tu dici -> Futuro Anteriore","tu avrai detto"
"9","dire","Futuro anteriore","lui dice -> Futuro Anteriore","lui avrà detto"
"9","dire","Futuro anteriore","lei dice -> Futuro Anteriore","lei avrà detto"
"9","dire","Futuro anteriore","noi diciamo -> Futuro Anteriore","noi avremo detto"
"9","dire","Futuro anteriore","voi dite -> Futuro Anteriore","voi avrete detto"
"9","dire","Futuro anteriore","loro(m) dicono -> Futuro Anteriore","loro(m) avranno detto"
"9","dire","Futuro anteriore","loro(f) dicono -> Futuro Anteriore","loro(f) avranno detto"
"9","dire","Congiuntivo Presente","io dico -> (che) Presente","che io dica"
"9","dire","Congiuntivo Presente","tu dici -> (che) Presente","che tu dica"
"9","dire","Congiuntivo Presente","lui dice -> (che) Presente","che lui dica"
"9","dire","Congiuntivo Presente","lei dice -> (che) Presente","che lei dica"
"9","dire","Congiuntivo Presente","noi diciamo -> (che) Presente","che noi diciamo"
"9","dire","Congiuntivo Presente","voi dite -> (che) Presente","che voi diciate"
"9","dire","Congiuntivo Presente","loro(m) dicono -> (che) Presente","che loro(m) dicano"
"9","dire","Congiuntivo Presente","loro(f) dicono -> (che) Presente","che loro(f) dicano"
"9","dire","Congiuntivo Passato","io dico -> (che) Perfettoal","che io abbia detto"
"9","dire","Congiuntivo Passato","tu dici -> (che) Perfettoal","che tu abbia detto"
"9","dire","Congiuntivo Passato","lui dice -> (che) Perfettoal","che lui abbia detto"
"9","dire","Congiuntivo Passato","lei dice -> (che) Perfettoal","che lei abbia detto"
"9","dire","Congiuntivo Passato","noi diciamo -> (che) Perfettoal","che noi abbiamo detto"
"9","dire","Congiuntivo Passato","voi dite -> (che) Perfettoal","che voi abbiate detto"
"9","dire","Congiuntivo Passato","loro(m) dicono -> (che) Perfettoal","che loro(m) abbiano detto"
"9","dire","Congiuntivo Passato","loro(f) dicono -> (che) Perfettoal","che loro(f) abbiano detto"
"9","dire","Congiuntivo Trapassato","io dico -> (che) Trapassato","che io avessi detto"
"9","dire","Congiuntivo Trapassato","tu dici -> (che) Trapassato","che tu avessi detto"
"9","dire","Congiuntivo Trapassato","lui dice -> (che) Trapassato","che lui avesse detto"
"9","dire","Congiuntivo Trapassato","lei dice -> (che) Trapassato","che lei avesse detto"
"9","dire","Congiuntivo Trapassato","noi diciamo -> (che) Trapassato","che noi avessimo detto"
"9","dire","Congiuntivo Trapassato","voi dite -> (che) Trapassato","che voi aveste detto"
"9","dire","Congiuntivo Trapassato","loro(m) dicono -> (che) Trapassato","che loro(m) avessero detto"
"9","dire","Congiuntivo Trapassato","loro(f) dicono -> (che) Trapassato","che loro(f) avessero detto"
"9","dire","Congiuntivo Imperfetto","io dico -> (che) Imperfetto","che io dicessi"
"9","dire","Congiuntivo Imperfetto","tu dici -> (che) Imperfetto","che tu dicessi"
"9","dire","Congiuntivo Imperfetto","lui dice -> (che) Imperfetto","che lui dicesse"
"9","dire","Congiuntivo Imperfetto","lei dice -> (che) Imperfetto","che lei dicesse"
"9","dire","Congiuntivo Imperfetto","noi diciamo -> (che) Imperfetto","che noi dicessimo"
"9","dire","Congiuntivo Imperfetto","voi dite -> (che) Imperfetto","che voi diceste"
"9","dire","Congiuntivo Imperfetto","loro(m) dicono -> (che) Imperfetto","che loro(m) dicessero"
"9","dire","Congiuntivo Imperfetto","loro(f) dicono -> (che) Imperfetto","che loro(f) dicessero"
"9","dire","Condizionale Presente","io dico -> (se) Presente","io direi"
"9","dire","Condizionale Presente","tu dici -> (se) Presente","tu diresti"
"9","dire","Condizionale Presente","lui dice -> (se) Presente","lui direbbe"
"9","dire","Condizionale Presente","lei dice -> (se) Presente","lei direbbe"
"9","dire","Condizionale Presente","noi diciamo -> (se) Presente","noi diremmo"
"9","dire","Condizionale Presente","voi dite -> (se) Presente","voi direste"
"9","dire","Condizionale Presente","loro(m) dicono -> (se) Presente","loro(m) direbbero"
"9","dire","Condizionale Presente","loro(f) dicono -> (se) Presente","loro(f) direbbero"
"9","dire","Condizionale Passato","io dico -> (se) Passato","io avrei detto"
"9","dire","Condizionale Passato","tu dici -> (se) Passato","tu avresti detto"
"9","dire","Condizionale Passato","lui dice -> (se) Passato","lui avrebbe detto"
"9","dire","Condizionale Passato","lei dice -> (se) Passato","lei avrebbe detto"
"9","dire","Condizionale Passato","noi diciamo -> (se) Passato","noi avremmo detto"
"9","dire","Condizionale Passato","voi dite -> (se) Passato","voi avreste detto"
"9","dire","Condizionale Passato","loro(m) dicono -> (se) Passato","loro(m) avrebbero detto"
"9","dire","Condizionale Passato","loro(f) dicono -> (se) Passato","loro(f) avrebbero detto"
"10","divertirsi","Imperfetto","io mi diverto -> Imperfetto","io mi divertivo"
"10","divertirsi","Imperfetto","tu ti diverti -> Imperfetto","tu ti divertivi"
"10","divertirsi","Imperfetto","lui si diverte -> Imperfetto","lui si divertiva"
"10","divertirsi","Imperfetto","lei si diverte -> Imperfetto","lei si divertiva"
"10","divertirsi","Imperfetto","noi ci divertiamo -> Imperfetto","noi ci divertivamo"
"10","divertirsi","Imperfetto","voi vi divertite -> Imperfetto","voi vi divertivate"
"10","divertirsi","Imperfetto","loro(m) si divertono -> Imperfetto","loro(m) si divertivano"
"10","divertirsi","Imperfetto","loro(f) si divertono -> Imperfetto","loro(f) si divertivano"
"10","divertirsi","Passato remoto","io mi diverto -> Passato Remoto","io mi divertii"
"10","divertirsi","Passato remoto","tu ti diverti -> Passato Remoto","tu ti divertisti"
"10","divertirsi","Passato remoto","lui si diverte -> Passato Remoto","lui si divertì"
"10","divertirsi","Passato remoto","lei si diverte -> Passato Remoto","lei si divertì"
"10","divertirsi","Passato remoto","noi ci divertiamo -> Passato Remoto","noi ci divertimmo"
"10","divertirsi","Passato remoto","voi vi divertite -> Passato Remoto","voi vi divertiste"
"10","divertirsi","Passato remoto","loro(m) si divertono -> Passato Remoto","loro(m) si divertirono"
"10","divertirsi","Passato remoto","loro(f) si divertono -> Passato Remoto","loro(f) si divertirono"
"10","divertirsi","Futuro semplice","io mi diverto -> Futuro","io mi divertirò"
"10","divertirsi","Futuro semplice","tu ti diverti -> Futuro","tu ti divertirai"
"10","divertirsi","Futuro semplice","lui si diverte -> Futuro","lui si divertirà"
"10","divertirsi","Futuro semplice","lei si diverte -> Futuro","lei si divertirà"
"10","divertirsi","Futuro semplice","noi ci divertiamo -> Futuro","noi ci divertiremo"
"10","divertirsi","Futuro semplice","voi vi divertite -> Futuro","voi vi divertirete"
"10","divertirsi","Futuro semplice","loro(m) si divertono -> Futuro","loro(m) si divertiranno"
"10","divertirsi","Futuro semplice","loro(f) si divertono -> Futuro","loro(f) si divertiranno"
"10","divertirsi","Passato prossimo","io mi diverto -> Perfetto","io mi sono divertito"
"10","divertirsi","Passato prossimo","tu ti diverti -> Perfetto","tu ti sei divertito"
"10","divertirsi","Passato prossimo","lui si diverte -> Perfetto","lui si è divertito"
"10","divertirsi","Passato prossimo","lei si diverte -> Perfetto","lei si è divertita"
"10","divertirsi","Passato prossimo","noi ci divertiamo -> Perfetto","noi ci siamo divertiti"
"10","divertirsi","Passato prossimo","voi vi divertite -> Perfetto","voi vi siete divertiti"
"10","divertirsi","Passato prossimo","loro(m) si divertono -> Perfetto","loro si sono divertiti"
"10","divertirsi","Passato prossimo","loro(f) si divertono -> Perfetto","loro si sono divertite"
"10","divertirsi","Trapassato prossimo","io mi diverto -> Trapassato Prossimo","io mi ero divertito"
"10","divertirsi","Trapassato prossimo","tu ti diverti -> Trapassato Prossimo","tu ti eri divertito"
"10","divertirsi","Trapassato prossimo","lui si diverte -> Trapassato Prossimo","lui si era divertito"
"10","divertirsi","Trapassato prossimo","lei si diverte -> Trapassato Prossimo","lei si era divertita"
"10","divertirsi","Trapassato prossimo","noi ci divertiamo -> Trapassato Prossimo","noi ci eravamo divertiti"
"10","divertirsi","Trapassato prossimo","voi vi divertite -> Trapassato Prossimo","voi vi eravate divertiti"
"10","divertirsi","Trapassato prossimo","loro(m) si divertono -> Trapassato Prossimo","loro si erano divertiti"
"10","divertirsi","Trapassato prossimo","loro(f) si divertono -> Trapassato Prossimo","loro si erano divertite"
"10","divertirsi","Futuro anteriore","io mi diverto -> Futuro Anteriore","io mi sarò divertito"
"10","divertirsi","Futuro anteriore","tu ti diverti -> Futuro Anteriore","tu ti sarai divertito"
"10","divertirsi","Futuro anteriore","lui si diverte -> Futuro Anteriore","lui si sarà divertito"
"10","divertirsi","Futuro anteriore","lei si diverte -> Futuro Anteriore","lei si sarà divertita"
"10","divertirsi","Futuro anteriore","noi ci divertiamo -> Futuro Anteriore","noi ci saremo divertiti"
"10","divertirsi","Futuro anteriore","voi vi divertite -> Futuro Anteriore","voi vi sarete divertiti"
"10","divertirsi","Futuro anteriore","loro(m) si divertono -> Futuro Anteriore","loro si saranno divertiti"
"10","divertirsi","Futuro anteriore","loro(f) si divertono -> Futuro Anteriore","loro si saranno divertite"
"10","divertirsi","Congiuntivo Presente","io mi diverto -> (che) Presente","che io mi diverta"
"10","divertirsi","Congiuntivo Presente","tu ti diverti -> (che) Presente","che tu ti diverta"
"10","divertirsi","Congiuntivo Presente","lui si diverte -> (che) Presente","che lui si diverta"
"10","divertirsi","Congiuntivo Presente","lei si diverte -> (che) Presente","che lei si diverta"
"10","divertirsi","Congiuntivo Presente","noi ci divertiamo -> (che) Presente","che noi ci divertiamo"
"10","divertirsi","Congiuntivo Presente","voi vi divertite -> (che) Presente","che voi vi divertiate"
"10","divertirsi","Congiuntivo Presente","loro(m) si divertono -> (che) Presente","che loro(m) si divertano"
"10","divertirsi","Congiuntivo Presente","loro(f) si divertono -> (che) Presente","che loro(f) si divertano"
"10","divertirsi","Congiuntivo Passato","io mi diverto -> (che) Perfettoal","che io mi sia divertito"
"10","divertirsi","Congiuntivo Passato","tu ti diverti -> (che) Perfettoal","che tu ti sia divertito"
"10","divertirsi","Congiuntivo Passato","lui si diverte -> (che) Perfettoal","che lui si sia divertito"
"10","divertirsi","Congiuntivo Passato","lei si diverte -> (che) Perfettoal","che lei si sia divertita"
"10","divertirsi","Congiuntivo Passato","noi ci divertiamo -> (che) Perfettoal","che noi ci siamo divertiti"
"10","divertirsi","Congiuntivo Passato","voi vi divertite -> (che) Perfettoal","che voi vi siate divertiti"
"10","divertirsi","Congiuntivo Passato","loro(m) si divertono -> (che) Perfettoal","che loro si siano divertiti"
"10","divertirsi","Congiuntivo Passato","loro(f) si divertono -> (che) Perfettoal","che loro si siano divertite"
"10","divertirsi","Congiuntivo Trapassato","io mi diverto -> (che) Trapassato","che io mi fossi divertito"
"10","divertirsi","Congiuntivo Trapassato","tu ti diverti -> (che) Trapassato","che tu ti fossi divertito"
"10","divertirsi","Congiuntivo Trapassato","lui si diverte -> (che) Trapassato","che lui si fosse divertito"
"10","divertirsi","Congiuntivo Trapassato","lei si diverte -> (che) Trapassato","che lei si fosse divertita"
"10","divertirsi","Congiuntivo Trapassato","noi ci divertiamo -> (che) Trapassato","che noi ci fossimo divertiti"
"10","divertirsi","Congiuntivo Trapassato","voi vi divertite -> (che) Trapassato","che voi vi foste divertiti"
"10","divertirsi","Congiuntivo Trapassato","loro(m) si divertono -> (che) Trapassato","che loro si fossero divertiti"
"10","divertirsi","Congiuntivo Trapassato","loro(f) si divertono -> (che) Trapassato","che loro si fossero divertite"
"10","divertirsi","Congiuntivo Imperfetto","io mi diverto -> (che) Imperfetto","che io mi divertissi"
"10","divertirsi","Congiuntivo Imperfetto","tu ti diverti -> (che) Imperfetto","che tu ti divertissi"
"10","divertirsi","Congiuntivo Imperfetto","lui si diverte -> (che) Imperfetto","che lui si divertisse"
"10","divertirsi","Congiuntivo Imperfetto","lei si diverte -> (che) Imperfetto","che lei si divertisse"
"10","divertirsi","Congiuntivo Imperfetto","noi ci divertiamo -> (che) Imperfetto","che noi ci divertissimo"
"10","divertirsi","Congiuntivo Imperfetto","voi vi divertite -> (che) Imperfetto","che voi vi divertiste"
"10","divertirsi","Congiuntivo Imperfetto","loro(m) si divertono -> (che) Imperfetto","che loro(m) si divertissero"
"10","divertirsi","Congiuntivo Imperfetto","loro(f) si divertono -> (che) Imperfetto","che loro(f) si divertissero"
"10","divertirsi","Condizionale Presente","io mi diverto -> (se) Presente","io mi divertirei"
"10","divertirsi","Condizionale Presente","tu ti diverti -> (se) Presente","tu ti divertiresti"
"10","divertirsi","Condizionale Presente","lui si diverte -> (se) Presente","lui si divertirebbe"
"10","divertirsi","Condizionale Presente","lei si diverte -> (se) Presente","lei si divertirebbe"
"10","divertirsi","Condizionale Presente","noi ci divertiamo -> (se) Presente","noi ci divertiremmo"
"10","divertirsi","Condizionale Presente","voi vi divertite -> (se) Presente","voi vi divertireste"
"10","divertirsi","Condizionale Presente","loro(m) si divertono -> (se) Presente","loro(m) si divertirebbero"
"10","divertirsi","Condizionale Presente","loro(f) si divertono -> (se) Presente","loro(f) si divertirebbero"
"10","divertirsi","Condizionale Passato","io mi diverto -> (se) Passato","io mi sarei divertito"
"10","divertirsi","Condizionale Passato","tu ti diverti -> (se) Passato","tu ti saresti divertito"
"10","divertirsi","Condizionale Passato","lui si diverte -> (se) Passato","lui si sarebbe divertito"
"10","divertirsi","Condizionale Passato","lei si diverte -> (se) Passato","lei si sarebbe divertita"
"10","divertirsi","Condizionale Passato","noi ci divertiamo -> (se) Passato","noi ci saremmo divertiti"
"10","divertirsi","Condizionale Passato","voi vi divertite -> (se) Passato","voi vi sareste divertiti"
"10","divertirsi","Condizionale Passato","loro(m) si divertono -> (se) Passato","loro si sarebbero divertiti"
"10","divertirsi","Condizionale Passato","loro(f) si divertono -> (se) Passato","loro si sarebbero divertite"
"11","dovere","Imperfetto","io devo/ebbo -> Imperfetto","io dovevo"
"11","dovere","Imperfetto","tu devi -> Imperfetto","tu dovevi"
"11","dovere","Imperfetto","lui deve -> Imperfetto","lui doveva"
"11","dovere","Imperfetto","lei deve -> Imperfetto","lei doveva"
"11","dovere","Imperfetto","noi dobbiamo -> Imperfetto","noi dovevamo"
"11","dovere","Imperfetto","voi dovete -> Imperfetto","voi dovevate"
"11","dovere","Imperfetto","loro(m) devono/ebbono -> Imperfetto","loro(m) dovevano"
"11","dovere","Imperfetto","loro(f) devono/ebbono -> Imperfetto","loro(f) dovevano"
